Regiao;Cor_Raca;ANO;SEXO;POPULACAO_ANALFABETA
Nordeste;Branca;1996;FEMININO;1.027.874
Nordeste;Negra;1996;FEMININO;2.988.351
Sudeste;Branca;1996;FEMININO;1.302.515
Sudeste;Negra;1996;FEMININO;1.170.077
Sul;Branca;1996;FEMININO;637.050
Sul;Negra;1996;FEMININO;203.036
Centro_Oeste;Branca;1996;FEMININO;164.432
Centro_Oeste;Negra;1996;FEMININO;262.426
Norte;Branca;1997;FEMININO;68.951
Norte;Negra;1997;FEMININO;262.138
Nordeste;Branca;1997;FEMININO;1.010.498
Nordeste;Negra;1997;FEMININO;3.177.218
Sudeste;Branca;1997;FEMININO;1.254.071
Sudeste;Negra;1997;FEMININO;1.196.460
Sul;Branca;1997;FEMININO;551.912
Sul;Negra;1997;FEMININO;255.168
Centro_Oeste;Branca;1997;FEMININO;170.182
Centro_Oeste;Negra;1997;FEMININO;284.295
Norte;Branca;1998;FEMININO;64.584
Norte;Negra;1998;FEMININO;252.513
Nordeste;Branca;1998;FEMININO;922.393
Nordeste;Negra;1998;FEMININO;3.027.812
Sudeste;Branca;1998;FEMININO;1.179.391
Sudeste;Negra;1998;FEMININO;1.196.678
Sul;Branca;1998;FEMININO;585.957
Sul;Negra;1998;FEMININO;210.850
Centro_Oeste;Branca;1998;FEMININO;156.264
Centro_Oeste;Negra;1998;FEMININO;271.665
Norte;Branca;1999;FEMININO;65.742
Norte;Negra;1999;FEMININO;267.577
Nordeste;Branca;1999;FEMININO;1.021.813
Nordeste;Negra;1999;FEMININO;3.010.609
Sudeste;Branca;1999;FEMININO;1.137.079
Sudeste;Negra;1999;FEMININO;1.233.585
Sul;Branca;1999;FEMININO;532.608
Sul;Negra;1999;FEMININO;229.259
Centro_Oeste;Branca;1999;FEMININO;164.865
Centro_Oeste;Negra;1999;FEMININO;279.934
Norte;Branca;2001;FEMININO;76.169
Norte;Negra;2001;FEMININO;290.413
Nordeste;Branca;2001;FEMININO;936.138
Nordeste;Negra;2001;FEMININO;2.956.599
Sudeste;Branca;2001;FEMININO;1.179.509
Sudeste;Negra;2001;FEMININO;1.232.468
Sul;Branca;2001;FEMININO;516.832
Sul;Negra;2001;FEMININO;226.437
Centro_Oeste;Branca;2001;FEMININO;150.448
Centro_Oeste;Negra;2001;FEMININO;296.262
Norte;Branca;2002;FEMININO;69.706
Norte;Negra;2002;FEMININO;285.833
Nordeste;Branca;2002;FEMININO;942.756
Nordeste;Negra;2002;FEMININO;2.857.926
Sudeste;Branca;2002;FEMININO;1.153.005
